step,input,h0,h1,h2
0,a,0.02258334867656231,-0.09269822388887405,0.01030381117016077
1,b,0.17032070457935333,-0.03282526135444641,-0.08976322412490845
2,b,0.21619322896003723,-0.003949602600187063,-0.1282830685377121
3,c,0.08105994015932083,-0.15276817977428436,-0.27383220195770264
4,c,0.016014860942959785,-0.22764843702316284,-0.3522891700267792
5,c,-0.025707654654979706,-0.26938605308532715,-0.3931901454925537
6,a,-0.032215945422649384,-0.240430548787117,-0.2713201344013214
7,a,-0.029163561761379242,-0.23134484887123108,-0.15748775005340576
8,b,0.12487577646970749,-0.12157578766345978,-0.16900765895843506
9,b,0.18977090716362,-0.07292208075523376,-0.17024940252304077
10,b,0.21587014198303223,-0.03317239508032799,-0.1646423488855362
11,b,0.22870147228240967,-0.004588543903082609,-0.15924011170864105
12,c,0.08438257873058319,-0.1541031152009964,-0.28804677724838257
13,c,0.016668742522597313,-0.22845536470413208,-0.3592793345451355
14,c,-0.025869637727737427,-0.2698461711406708,-0.3968345820903778
15,c,-0.05073896050453186,-0.29389265179634094,-0.41748762130737305
16,c,-0.06502440571784973,-0.30872926115989685,-0.42922282218933105
17,c,-0.07324156165122986,-0.31825199723243713,-0.4360160231590271
18,a,-0.06319031864404678,-0.2720523774623871,-0.31766796112060547
19,a,-0.053030338138341904,-0.2519872188568115,-0.19252042472362518
20,a,-0.03837854415178299,-0.23836879432201385,-0.11661893129348755
21,b,0.12087960541248322,-0.12525948882102966,-0.15097899734973907
22,b,0.18900538980960846,-0.07522634416818619,-0.16212953627109528
23,b,0.2158096581697464,-0.03447301685810089,-0.16098755598068237
24,b,0.22875671088695526,-0.005288330372422934,-0.15760110318660736
25,b,0.23603196442127228,0.014590166509151459,-0.15435202419757843
26,b,0.24050135910511017,0.02789093367755413,-0.15179745852947235
27,c,0.09219440817832947,-0.13028259575366974,-0.2853075861930847
28,c,0.022283894941210747,-0.21573403477668762,-0.3584514260292053
29,c,-0.022389542311429977,-0.262625515460968,-0.396342933177948
30,c,-0.04866064339876175,-0.2895529270172119,-0.41715094447135925
31,c,-0.06378782540559769,-0.3060084283351898,-0.42899540066719055
32,c,-0.07249905169010162,-0.316496878862381,-0.4358658492565155
33,c,-0.07756145298480988,-0.32336166501045227,-0.4398990571498871
34,c,-0.08054275810718536,-0.32792821526527405,-0.4422866404056549
35,c,-0.08232524991035461,-0.33099570870399475,-0.4437088370323181
36,a,-0.06927993893623352,-0.28090226650238037,-0.32689619064331055
37,a,-0.05789739266037941,-0.2579861879348755,-0.19986970722675323
38,b,0.10612118989229202,-0.1416052132844925,-0.19014456868171692
39,b,0.18096214532852173,-0.09021920710802078,-0.1817987561225891
40,b,0.21075952053070068,-0.04624619334936142,-0.17093777656555176
41,b,0.2254582643508911,-0.013795611448585987,-0.16280727088451385
42,c,0.08213034272193909,-0.16082769632339478,-0.28949764370918274
43,c,0.015022523701190948,-0.23206648230552673,-0.3598543405532837
44,c,-0.026901258155703545,-0.2719094753265381,-0.39715272188186646
45,c,-0.05136033520102501,-0.2951396703720093,-0.4176803529262543
46,c,-0.06539645791053772,-0.3095144033432007,-0.4293418526649475
47,c,-0.07346595078706741,-0.318759948015213,-0.4360898435115814
48,a,-0.06334637105464935,-0.2723957896232605,-0.3178294897079468
49,b,0.09763433039188385,-0.15523861348628998,-0.24777308106422424
50,b,0.1743166595697403,-0.10355189442634583,-0.20970113575458527
51,c,0.05151279270648956,-0.22660018503665924,-0.3096703290939331
52,c,-0.005522564984858036,-0.2680588662624359,-0.36866840720176697
53,c,-0.03928636014461517,-0.29288581013679504,-0.40199917554855347
